,loss_of_supply,immediate_failure,islanded_failure,soc,battery_kwh,solar_generation_kw,load_demand_kw,pv_to_load_kw,pv_to_battery_kw,battery_to_load_kw,grid_to_load_kw,unmet_load_kw,can_charge,battery_can_discharge,Grid,PCC_Breaker,Islanding_Controller,PV_Array,PV_Inverter,Battery_Pack,BMS,PCS
2026-01-01 00:00:00,0,0,0,44.73684210526316,8.947368421052632,0.0,1.0,0.0,0.0,0.9999999999999999,0.0,1.1102230246251565e-16,0,1,1,1,1,1,1,1,1,1
2026-01-01 01:00:00,0,0,0,39.473684210526315,7.894736842105264,0.0,1.0,0.0,0.0,0.9999999999999999,0.0,1.1102230246251565e-16,0,1,1,1,1,1,1,1,1,1
2026-01-01 02:00:00,0,0,0,32.67000943142645,6.53400188628529,0.0,1.2926982080289744,0.0,0.0,1.2926982080289744,0.0,0.0,0,1,1,1,1,1,1,1,1,1
2026-01-01 03:00:00,0,0,0,25.600856093138695,5.120171218627739,0.0,1.3431391342746735,0.0,0.0,1.3431391342746735,0.0,0.0,0,1,1,1,1,1,1,1,1,1
2026-01-01 04:00:00,0,0,0,17.384074493603404,3.47681489872068,0.0,1.5611885039117057,0.0,0.0,1.5611885039117057,0.0,0.0,0,1,1,1,1,1,1,1,1,1
2026-01-01 05:00:00,0,0,0,8.053677502009169,1.6107355004018336,0.0,1.7727754284029043,0.0,0.0,1.7727754284029043,0.0,0.0,0,1,1,1,1,1,1,1,1,1
2026-01-01 06:00:00,1,0,0,0.0,0.0,0.0,1.848931587063666,0.0,0.0,1.5301987253817417,0.0,0.3187328616819243,0,1,0,1,1,1,1,1,1,1
2026-01-01 07:00:00,1,0,0,0.0,0.0,0.0361481538344751,2.044130656020799,0.0361481538344751,0.0,0.0,0.0,2.007982502186324,0,0,0,1,1,1,1,1,1,1
2026-01-01 08:00:00,1,0,0,0.0,0.0,0.0764723560701272,2.2852401943787015,0.0764723560701272,0.0,0.0,0.0,2.2087678383085745,0,0,0,1,1,1,1,1,1,1
2026-01-01 09:00:00,1,0,0,0.0,0.0,0.1868820985138352,2.556047844730499,0.1868820985138352,0.0,0.0,0.0,2.3691657462166638,0,0,0,1,1,1,1,1,1,1
2026-01-01 10:00:00,1,0,0,0.0,0.0,0.0741063686303237,2.946312833183517,0.0741063686303237,0.0,0.0,0.0,2.8722064645531935,0,0,0,1,1,1,1,1,1,1
2026-01-01 11:00:00,1,0,0,0.0,0.0,0.0289685370813771,2.9611747816615557,0.0289685370813771,0.0,0.0,0.0,2.9322062445801786,0,0,0,1,1,1,1,1,1,1
2026-01-01 12:00:00,1,0,0,0.0,0.0,0.0884773014092061,2.6042859651673993,0.0884773014092061,0.0,0.0,0.0,2.515808663758193,0,0,0,1,1,1,1,1,1,1
2026-01-01 13:00:00,1,0,0,0.0,0.0,0.0287449976225708,2.7041842309352,0.0287449976225708,0.0,0.0,0.0,2.675439233312629,0,0,0,1,1,1,1,1,1,1
2026-01-01 14:00:00,1,0,0,0.0,0.0,0.0591422776640485,2.785612286750643,0.0591422776640485,0.0,0.0,0.0,2.7264700090865945,0,0,0,1,1,1,1,1,1,1
2026-01-01 15:00:00,1,0,0,0.0,0.0,0.0,2.73864606620195,0.0,0.0,0.0,0.0,2.73864606620195,0,0,0,1,1,1,1,1,1,1
2026-01-01 16:00:00,1,0,0,0.0,0.0,0.0596546427767138,2.584722507872131,0.0596546427767138,0.0,0.0,0.0,2.5250678650954175,0,0,0,1,1,1,1,1,1,1
2026-01-01 17:00:00,1,0,0,0.0,0.0,0.0561648371149458,2.115051140910757,0.0561648371149458,0.0,0.0,0.0,2.0588863037958114,0,0,0,1,1,1,1,1,1,1
2026-01-01 18:00:00,1,0,0,0.0,0.0,0.0428050473933348,2.1559677626620344,0.0428050473933348,0.0,0.0,0.0,2.1131627152686994,0,0,0,1,1,1,1,1,1,1
2026-01-01 19:00:00,1,0,0,0.0,0.0,0.0,1.4135604118811746,0.0,0.0,0.0,0.0,1.4135604118811746,0,0,0,1,1,1,1,1,1,1
2026-01-01 20:00:00,1,0,0,0.0,0.0,0.0,1.4209950565567495,0.0,0.0,0.0,0.0,1.4209950565567495,0,0,0,1,1,1,1,1,1,1
