,loss_of_supply,immediate_failure,islanded_failure,soc,battery_kwh,solar_generation_kw,load_demand_kw,pv_to_load_kw,pv_to_battery_kw,battery_to_load_kw,grid_to_load_kw,unmet_load_kw,can_charge,Grid,PCC_Breaker,Islanding_Controller,PV_Array,PV_Inverter,Battery_Pack,BMS,PCS
2026-01-01 00:00:00,0,0,0,44.66072403125823,8.932144806251646,0.0,1.0144624340609358,0.0,0,1.0144624340609358,0.0,0.0,0,1,1,1,0,1,1,1,1
2026-01-01 01:00:00,0,0,0,39.086050554384336,7.817210110876867,0.0,1.05918796060604,0.0,0,1.05918796060604,0.0,0.0,0,1,1,1,0,1,1,1,1
2026-01-01 02:00:00,0,0,0,31.016680589724686,6.2033361179449376,0.0,1.5331802932853325,0.0,0,1.5331802932853325,0.0,0.0,0,1,1,1,0,1,1,1,1
2026-01-01 03:00:00,0,0,0,16.46650122740549,3.2933002454810985,0.0,2.764534078840647,0.0,0,2.764534078840647,0.0,0.0,0,1,1,1,0,1,1,1,1
2026-01-01 04:00:00,0,0,0,2.5006072204272245,0.5001214440854449,0.0,2.653519861325871,0.0,0,2.653519861325871,0.0,0.0,0,1,1,1,0,1,1,1,1
2026-01-01 05:00:00,0,0,0,0.0,0.0,0.0,3.2686484238101094,0.0,0,0.47511537188117264,2.7935330519289368,0.0,0,1,1,1,0,1,0,1,1
2026-01-01 06:00:00,0,0,0,0.0,0.0,0.0,3.3860991941696374,0.0,0,0.0,3.3860991941696374,0.0,0,1,1,1,0,1,0,1,1
2026-01-01 07:00:00,0,0,0,0.0,0.0,0.0361481538344751,3.8999068770236773,0.0361481538344751,0,0.0,3.863758723189202,0.0,0,1,1,1,1,1,0,1,0
2026-01-01 08:00:00,0,0,0,0.0,0.0,0.0764723560701272,3.2883935187701283,0.0764723560701272,0,0.0,3.2119211627000013,0.0,0,1,1,1,1,1,0,1,1
2026-01-01 09:00:00,0,0,0,0.0,0.0,0.1868820985138352,3.923939199075517,0.1868820985138352,0,0.0,3.7370571005616817,0.0,0,1,1,1,1,1,0,1,1
2026-01-01 10:00:00,0,0,0,0.0,0.0,0.0741063686303237,4.961253178024254,0.0741063686303237,0,0.0,4.88714680939393,0.0,0,1,1,1,1,1,0,1,1
2026-01-01 11:00:00,0,0,0,0.0,0.0,0.0289685370813771,4.36419353399014,0.0289685370813771,0,0.0,4.335224996908763,0.0,0,1,1,1,1,1,0,1,1
2026-01-01 12:00:00,0,0,0,0.0,0.0,0.0884773014092061,5.094586051173823,0.0884773014092061,0,0.0,5.006108749764617,0.0,0,1,1,1,1,1,0,1,1
2026-01-01 13:00:00,0,0,0,0.0,0.0,0.0287449976225708,5.25755577003188,0.0287449976225708,0,0.0,5.228810772409309,0.0,0,1,1,1,1,1,0,1,1
2026-01-01 14:00:00,0,0,0,0.0,0.0,0.0591422776640485,3.919759463589198,0.0591422776640485,0,0.0,3.8606171859251495,0.0,0,1,1,1,1,1,0,1,1
2026-01-01 15:00:00,0,0,0,0.0,0.0,0.0,4.552902096500523,0.0,0,0.0,4.552902096500523,0.0,0,1,1,1,0,1,0,1,1
2026-01-01 16:00:00,0,0,0,0.0,0.0,0.0596546427767138,3.9621631981428305,0.0596546427767138,0,0.0,3.9025085553661167,0.0,0,1,1,1,1,1,0,1,1
2026-01-01 17:00:00,0,0,0,0.0,0.0,0.0561648371149458,2.986939550878904,0.0561648371149458,0,0.0,2.930774713763958,0.0,0,1,1,1,1,1,0,1,1
