,loss_of_supply,soc,battery_kwh,solar_generation_kw,load_demand_kw,pv_to_load_kw,pv_to_battery_kw,battery_to_load_kw,grid_to_load_kw,unmet_load_kw,can_charge,Grid,PCC_Breaker,Islanding_Controller,PV_Array,PV_Inverter,Battery_Pack,BMS,PCS
01.01.2026 00:00,0,44.73684211,8.947368421,0,1,0,0,1,0,1.11E-16,0,1,1,1,1,1,1,1,1
01.01.2026 01:00,0,38.59208109,7.718416218,0,1.167504593,0,0,1.167504593,0,0,0,1,1,1,1,1,1,1,1
01.01.2026 02:00,0,30.08748762,6.017497523,0,1.61587276,0,0,1.61587276,0,0,0,1,1,1,1,1,1,1,1
01.01.2026 03:00,0,21.25104594,4.250209189,0,1.678923918,0,0,1.678923918,0,0,0,1,1,1,1,1,1,1,1
01.01.2026 04:00,0,10.98006894,2.196013789,0,1.95148563,0,0,1.95148563,0,-2.22E-16,0,1,1,1,1,1,1,1,1
01.01.2026 05:00,0,0,0,0,2.215969286,0,0,2.086213099,0.129756186,0,0,1,1,1,1,1,1,1,1
01.01.2026 06:00,1,0,0,0,2.311164484,0,0,0,0,2.311164484,0,0,1,1,1,1,1,1,1
01.01.2026 07:00,1,0,0,0.036148154,2.55516332,0.036148154,0,0,0,2.519015166,0,0,1,1,1,1,1,1,1
01.01.2026 08:00,1,0,0,0.076472356,2.856550243,0.076472356,0,0,0,2.780077887,0,0,1,1,1,1,1,1,1
01.01.2026 09:00,1,0,0,0.186882099,3.195059806,0.186882099,0,0,0,3.008177707,0,0,1,1,1,1,1,1,1
01.01.2026 10:00,1,0,0,0.074106369,3.682891041,0.074106369,0,0,0,3.608784673,0,0,1,1,1,1,1,1,1
01.01.2026 11:00,1,0,0,0.028968537,3.701468477,0.028968537,0,0,0,3.67249994,0,0,1,1,1,1,1,1,1
01.01.2026 12:00,1,0,0,0.088477301,3.255357456,0.088477301,0,0,0,3.166880155,0,0,1,1,1,1,1,1,1
01.01.2026 13:00,1,0,0,0.028744998,3.380230289,0.028744998,0,0,0,3.351485291,0,0,1,1,1,1,1,1,1
01.01.2026 14:00,1,0,0,0.059142278,3.482015358,0.059142278,0,0,0,3.422873081,0,0,1,1,1,1,1,1,1
01.01.2026 15:00,1,0,0,0,3.423307583,0,0,0,0,3.423307583,0,0,1,1,1,1,1,1,1
01.01.2026 16:00,1,0,0,0.059654643,3.230903135,0.059654643,0,0,0,3.171248492,0,0,1,1,1,1,1,1,1
01.01.2026 17:00,1,0,0,0.056164837,2.643813926,0.056164837,0,0,0,2.587649089,0,0,1,1,1,1,1,1,1
01.01.2026 18:00,1,0,0,0.042805047,2.694959703,0.042805047,0,0,0,2.652154656,0,0,1,1,1,1,1,1,1
01.01.2026 19:00,1,0,0,0,1.766950515,0,0,0,0,1.766950515,0,0,1,1,1,1,1,1,1
01.01.2026 20:00,1,0,0,0,1.776243821,0,0,0,0,1.776243821,0,0,1,1,1,1,1,1,1
01.01.2026 21:00,1,0,0,0,1.737186701,0,0,0,0,1.737186701,0,0,1,1,1,1,1,1,1
01.01.2026 22:00,1,0,0,0,1.405064492,0,0,0,0,1.405064492,0,0,1,1,1,1,1,1,1
01.01.2026 23:00,1,0,0,0,1.326629307,0,0,0,0,1.326629307,0,0,1,1,1,1,1,1,1
02.01.2026 00:00,1,0,0,0,1.364058744,0,0,0,0,1.364058744,0,0,1,1,1,1,1,1,1
02.01.2026 01:00,1,0,0,0,1.139299674,0,0,0,0,1.139299674,0,0,1,1,1,1,1,1,1
02.01.2026 02:00,1,0,0,0,1.537925492,0,0,0,0,1.537925492,0,0,1,1,1,1,1,1,1
02.01.2026 03:00,1,0,0,0,1.742717944,0,0,0,0,1.742717944,0,0,1,1,1,1,1,1,1
02.01.2026 04:00,1,0,0,0,1.792988219,0,0,0,0,1.792988219,0,0,1,1,1,1,1,1,1
02.01.2026 05:00,1,0,0,0,1.763261732,0,0,0,0,1.763261732,0,0,1,1,1,1,1,1,1
02.01.2026 06:00,1,0,0,0,2.246787158,0,0,0,0,2.246787158,0,0,1,1,1,1,1,1,1
02.01.2026 07:00,1,0,0,0.003079497,2.906918856,0.003079497,0,0,0,2.903839359,0,0,1,1,1,1,1,1,1
02.01.2026 08:00,1,0,0,0.035914394,2.694436352,0.035914394,0,0,0,2.658521958,0,0,1,1,1,1,1,1,1
02.01.2026 09:00,1,0,0,0.059411138,2.972855842,0,0,0,0,2.972855842,0,0,1,1,1,0,1,1,1
02.01.2026 10:00,1,0,0,0.045677401,3.48682428,0,0,0,0,3.48682428,0,0,1,1,1,0,1,1,1
02.01.2026 11:00,1,0,0,0.157254981,3.280747791,0,0,0,0,3.280747791,0,0,1,1,1,0,1,1,1
02.01.2026 12:00,1,0,0,0.123898746,3.396830747,0,0,0,0,3.396830747,0,0,1,1,1,0,1,1,1
02.01.2026 13:00,1,0,0,0.071252405,3.802143545,0,0,0,0,3.802143545,0,0,1,1,1,0,1,1,1
02.01.2026 14:00,1,0,0,0.078233778,3.575601544,0,0,0,0,3.575601544,0,0,1,1,1,0,1,1,1
02.01.2026 15:00,1,0,0,0.009619562,2.905086271,0,0,0,0,2.905086271,0,0,1,1,1,0,1,1,1
02.01.2026 16:00,1,0,0,0.050662439,2.745619324,0,0,0,0,2.745619324,0,0,1,1,1,0,1,1,1
02.01.2026 17:00,1,0,0,0.122897974,2.623110423,0,0,0,0,2.623110423,0,0,1,1,0,0,1,1,1
02.01.2026 18:00,1,0,0,0,2.134254055,0,0,0,0,2.134254055,0,0,1,1,0,0,1,1,1
02.01.2026 19:00,1,0,0,0,1.946994524,0,0,0,0,1.946994524,0,0,1,1,0,0,1,1,1
02.01.2026 20:00,1,0,0,0,1.781472128,0,0,0,0,1.781472128,0,0,1,1,0,0,1,1,1
02.01.2026 21:00,1,0,0,0,1.200276112,0,0,0,0,1.200276112,0,0,1,1,0,0,1,1,1
02.01.2026 22:00,1,0,0,0,1.128392025,0,0,0,0,1.128392025,0,0,1,1,0,1,1,1,1
02.01.2026 23:00,1,0,0,0,1.500423217,0,0,0,0,1.500423217,0,0,1,1,0,1,1,1,1
03.01.2026 00:00,1,0,0,0,1.203816677,0,0,0,0,1.203816677,0,0,1,1,0,1,1,1,1
03.01.2026 01:00,1,0,0,0,1.215204032,0,0,0,0,1.215204032,0,0,1,1,0,1,1,1,1
03.01.2026 02:00,1,0,0,0,1.207393017,0,0,0,0,1.207393017,0,0,1,1,0,1,1,1,1
03.01.2026 03:00,1,0,0,0,1.510813182,0,0,0,0,1.510813182,0,0,1,1,0,1,1,1,1
03.01.2026 04:00,1,0,0,0,1.441680228,0,0,0,0,1.441680228,0,0,1,1,0,1,1,1,1
03.01.2026 05:00,1,0,0,0,1.692664302,0,0,0,0,1.692664302,0,0,1,1,0,1,1,1,1
03.01.2026 06:00,1,0,0,0.079501443,2.27639247,0,0,0,0,2.27639247,0,0,1,1,0,1,1,1,1
03.01.2026 07:00,1,0,0,0,3.065725529,0,0,0,0,3.065725529,0,0,1,1,0,1,1,1,1
03.01.2026 08:00,1,0,0,0.007342646,2.636932808,0,0,0,0,2.636932808,0,0,1,1,0,1,1,1,1
03.01.2026 09:00,1,0,0,0.134799694,3.601017972,0,0,0,0,3.601017972,0,0,1,1,0,1,1,1,1
03.01.2026 10:00,1,0,0,0,3.089838632,0,0,0,0,3.089838632,0,0,1,1,0,1,1,1,1
03.01.2026 11:00,1,0,0,0.045492144,3.377312025,0.045492144,0,0,0,3.331819881,0,0,1,1,1,1,1,1,1
03.01.2026 12:00,1,0,0,0.212778257,3.776876789,0.212778257,0,0,0,3.564098532,0,0,1,1,1,1,1,1,1
03.01.2026 13:00,1,0,0,0.082471363,3.218981594,0.082471363,0,0,0,3.136510232,0,0,1,1,1,1,1,1,1
03.01.2026 14:00,1,0,0,0,3.087314376,0,0,0,0,3.087314376,0,0,1,1,1,1,1,1,1
03.01.2026 15:00,1,0,0,0.042604163,3.005027676,0.042604163,0,0,0,2.962423513,0,0,1,1,1,1,1,1,1
03.01.2026 16:00,1,0,0,0.110107254,2.741395869,0.110107254,0,0,0,2.631288615,0,0,1,1,1,1,1,1,1
03.01.2026 17:00,1,0,0,0.051331978,2.788255276,0.051331978,0,0,0,2.736923298,0,0,1,1,1,1,1,1,1
03.01.2026 18:00,1,0,0,0.074803547,2.54713412,0.074803547,0,0,0,2.472330573,0,0,1,1,1,1,1,1,1
03.01.2026 19:00,1,0,0,0,2.063027831,0,0,0,0,2.063027831,0,0,1,1,1,1,1,1,1
03.01.2026 20:00,1,0,0,0,1.437952861,0,0,0,0,1.437952861,0,0,1,1,0,1,1,1,1
03.01.2026 21:00,1,0,0,0,1.830128743,0,0,0,0,1.830128743,0,0,1,1,0,1,1,1,1
03.01.2026 22:00,1,0,0,0,1.034194345,0,0,0,0,1.034194345,0,0,1,1,0,1,1,1,1
03.01.2026 23:00,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1
04.01.2026 00:00,1,0,0,0,1.214426598,0,0,0,0,1.214426598,0,0,1,1,1,1,1,1,1
04.01.2026 01:00,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1
04.01.2026 02:00,1,0,0,0,1.346092131,0,0,0,0,1.346092131,0,0,1,1,1,1,1,1,1
04.01.2026 03:00,1,0,0,0,1.430238242,0,0,0,0,1.430238242,0,0,1,1,1,1,1,1,1
04.01.2026 04:00,1,0,0,0,2.062114432,0,0,0,0,2.062114432,0,0,1,1,1,1,1,1,1
04.01.2026 05:00,1,0,0,0,2.265386518,0,0,0,0,2.265386518,0,0,1,1,1,1,1,1,1
04.01.2026 06:00,1,0,0,0.031561035,2.115663191,0.031561035,0,0,0,2.084102156,0,0,1,1,1,1,1,1,1
04.01.2026 07:00,1,0,0,0,2.796025841,0,0,0,0,2.796025841,0,0,1,1,1,1,1,1,1
04.01.2026 08:00,1,0,0,0.176461822,2.804949812,0.176461822,0,0,0,2.62848799,0,0,1,1,1,1,1,1,1
04.01.2026 09:00,1,0,0,0.124774298,2.999546644,0.124774298,0,0,0,2.874772346,0,0,1,1,1,1,1,1,1
04.01.2026 10:00,1,0,0,0.090469618,3.620771486,0.090469618,0,0,0,3.530301868,0,0,1,1,1,1,1,1,1
04.01.2026 11:00,1,0,0,0.160266682,3.337212561,0.160266682,0,0,0,3.176945879,0,0,1,1,1,1,1,1,1
04.01.2026 12:00,1,0,0,0.206608958,3.368389567,0.206608958,0,0,0,3.161780609,0,0,1,1,1,1,1,1,1
04.01.2026 13:00,1,0,0,0.131061018,3.576127748,0.131061018,0,0,0,3.44506673,0,0,1,1,1,1,1,1,1
04.01.2026 14:00,1,0,0,0.069480677,3.186642071,0.069480677,0,0,0,3.117161393,0,0,1,1,1,1,1,1,1
04.01.2026 15:00,1,0,0,0.096450863,3.227550956,0.096450863,0,0,0,3.131100093,0,0,1,1,1,1,1,1,1
04.01.2026 16:00,1,0,0,0.140852162,2.903128309,0.140852162,0,0,0,2.762276146,0,0,1,1,1,1,1,1,1
04.01.2026 17:00,1,0,0,0.022362725,2.372452669,0,0,0,0,2.372452669,0,0,1,1,0,1,1,1,1
04.01.2026 18:00,1,0,0,0.047790257,2.039941679,0,0,0,0,2.039941679,0,0,1,1,0,1,1,1,1
04.01.2026 19:00,1,0,0,0,2.290004299,0,0,0,0,2.290004299,0,0,1,1,0,1,1,1,1
04.01.2026 20:00,1,0,0,0,2.045287033,0,0,0,0,2.045287033,0,0,1,1,1,1,1,1,1
04.01.2026 21:00,1,0,0,0,1.854038577,0,0,0,0,1.854038577,0,0,1,1,1,1,1,1,1
04.01.2026 22:00,1,0,0,0,1.090243189,0,0,0,0,1.090243189,0,0,1,1,1,1,1,1,1
04.01.2026 23:00,1,0,0,0,1.016713963,0,0,0,0,1.016713963,0,0,1,1,1,1,1,1,1
05.01.2026 00:00,1,0,0,0,1.176976722,0,0,0,0,1.176976722,0,0,1,1,1,1,1,1,1
05.01.2026 01:00,1,0,0,0,1.199374912,0,0,0,0,1.199374912,0,0,1,1,1,1,1,1,1
05.01.2026 02:00,1,0,0,0,1.630902452,0,0,0,0,1.630902452,0,0,1,1,1,1,1,1,1
05.01.2026 03:00,1,0,0,0,1.454598328,0,0,0,0,1.454598328,0,0,1,1,1,1,1,1,1
05.01.2026 04:00,1,0,0,0,1.929113754,0,0,0,0,1.929113754,0,0,1,1,1,1,1,1,1
05.01.2026 05:00,1,0,0,0,1.890778823,0,0,0,0,1.890778823,0,0,1,1,1,1,1,1,1
05.01.2026 06:00,1,0,0,0.072135326,2.168772694,0.072135326,0,0,0,2.096637368,0,0,1,1,1,1,1,1,1
05.01.2026 07:00,1,0,0,0,2.630147609,0,0,0,0,2.630147609,0,0,1,1,1,1,1,1,1
05.01.2026 08:00,1,0,0,0.070365954,3.150085223,0.070365954,0,0,0,3.07971927,0,0,1,1,1,1,1,1,1
05.01.2026 09:00,1,0,0,0.117765412,3.440119312,0.117765412,0,0,0,3.3223539,0,0,1,1,1,1,1,1,1
05.01.2026 10:00,1,0,0,0.128813817,3.466613208,0.128813817,0,0,0,3.337799391,0,0,1,1,1,1,1,1,1
05.01.2026 11:00,1,0,0,0.160501129,3.487625396,0.160501129,0,0,0,3.327124267,0,0,1,1,1,1,1,1,1
05.01.2026 12:00,1,0,0,0.22138327,3.791647873,0.22138327,0,0,0,3.570264603,0,0,1,1,1,1,1,1,1
05.01.2026 13:00,1,0,0,0.110322464,3.466357438,0.110322464,0,0,0,3.356034973,0,0,1,1,1,1,0,1,1
05.01.2026 14:00,1,0,0,0.070049666,3.345454055,0.070049666,0,0,0,3.275404389,0,0,1,1,1,1,0,1,1
05.01.2026 15:00,1,0,0,0.023270379,2.896220041,0.023270379,0,0,0,2.872949662,0,0,1,1,1,1,0,1,1
05.01.2026 16:00,1,0,0,0.041625216,3.341266179,0.041625216,0,0,0,3.299640963,0,0,1,1,1,1,0,1,1
05.01.2026 17:00,1,0,0,0.073589785,2.432319683,0.073589785,0,0,0,2.358729898,0,0,1,1,1,1,0,1,1
05.01.2026 18:00,1,0,0,0,2.431071555,0,0,0,0,2.431071555,0,0,1,1,1,1,0,1,1
05.01.2026 19:00,1,0,0,0,1.805492587,0,0,0,0,1.805492587,0,0,1,1,1,1,0,1,1
05.01.2026 20:00,1,0,0,0,1.488156467,0,0,0,0,1.488156467,0,0,1,1,1,1,0,1,1
05.01.2026 21:00,1,0,0,0,1.803317787,0,0,0,0,1.803317787,0,0,1,1,1,1,0,1,1
05.01.2026 22:00,1,0,0,0,1.132446549,0,0,0,0,1.132446549,0,0,1,1,1,1,0,1,1
05.01.2026 23:00,1,0,0,0,1.493732567,0,0,0,0,1.493732567,0,0,1,1,1,1,0,1,1
06.01.2026 00:00,1,0,0,0,1.062877235,0,0,0,0,1.062877235,0,0,1,1,1,1,0,1,1
06.01.2026 01:00,1,0,0,0,1.273623349,0,0,0,0,1.273623349,0,0,1,1,1,1,0,1,1
06.01.2026 02:00,1,0,0,0,1.326670754,0,0,0,0,1.326670754,0,0,1,1,1,1,0,0,1
06.01.2026 03:00,1,0,0,0,1.180769991,0,0,0,0,1.180769991,0,0,1,1,1,1,0,0,1
06.01.2026 04:00,1,0,0,0,1.462618843,0,0,0,0,1.462618843,0,0,1,1,1,1,0,0,1
06.01.2026 05:00,1,0,0,0,2.124109821,0,0,0,0,2.124109821,0,0,1,1,1,1,0,1,1
06.01.2026 06:00,1,0,0,0.026397653,2.568337623,0.026397653,0,0,0,2.54193997,0,0,1,1,1,1,0,1,1
06.01.2026 07:00,1,0,0,0.059004599,2.956615138,0.059004599,0,0,0,2.897610539,0,0,1,1,1,1,0,1,1
06.01.2026 08:00,1,0,0,0.055957718,3.039363054,0.055957718,0,0,0,2.983405336,0,0,1,1,1,1,0,1,1
06.01.2026 09:00,1,0,0,0.099741431,2.901472949,0.099741431,0,0,0,2.801731518,0,0,1,1,1,1,0,1,1
06.01.2026 10:00,1,0,0,0.265302851,3.404303481,0.265302851,0,0,0,3.13900063,0,0,1,1,1,1,0,1,1
06.01.2026 11:00,1,0,0,0.146602592,3.868313738,0.146602592,0,0,0,3.721711147,0,0,1,1,1,1,0,1,1
06.01.2026 12:00,1,0,0,0.23097358,3.300033746,0.23097358,0,0,0,3.069060166,0,0,1,1,1,1,0,1,1
06.01.2026 13:00,1,0,0,0.170583047,3.734250633,0.170583047,0,0,0,3.563667586,0,0,1,1,1,1,0,1,1
06.01.2026 14:00,1,0,0,0.145135443,3.827167931,0.145135443,0,0,0,3.682032488,0,0,1,1,1,1,1,1,1
06.01.2026 15:00,1,0,0,0.121726086,3.431057064,0.121726086,0,0,0,3.309330978,0,0,1,1,1,1,1,1,1
06.01.2026 16:00,1,0,0,0.051924606,2.794471498,0.051924606,0,0,0,2.742546892,0,0,1,1,1,1,1,1,1
06.01.2026 17:00,1,0,0,0.012606273,2.685983284,0.012606273,0,0,0,2.673377011,0,0,1,1,1,1,1,1,1
06.01.2026 18:00,1,0,0,0.000792505,2.52500428,0.000792505,0,0,0,2.524211775,0,0,1,1,1,1,1,1,1
06.01.2026 19:00,1,0,0,0,2.356613668,0,0,0,0,2.356613668,0,0,1,1,1,1,1,1,1
06.01.2026 20:00,1,0,0,0,1.769517654,0,0,0,0,1.769517654,0,0,1,1,1,1,1,1,1
06.01.2026 21:00,1,0,0,0,1.736934191,0,0,0,0,1.736934191,0,0,1,1,1,1,1,1,1
06.01.2026 22:00,1,0,0,0,1.552165348,0,0,0,0,1.552165348,0,0,1,1,1,1,1,1,1
06.01.2026 23:00,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1
07.01.2026 00:00,1,0,0,0,1.402721339,0,0,0,0,1.402721339,0,0,1,1,1,1,1,1,1
07.01.2026 01:00,1,0,0,0,1.472155737,0,0,0,0,1.472155737,0,0,1,1,1,1,1,1,1
07.01.2026 02:00,1,0,0,0,1.549445291,0,0,0,0,1.549445291,0,0,1,1,1,1,1,1,1
07.01.2026 03:00,1,0,0,0,1.58721265,0,0,0,0,1.58721265,0,0,1,1,1,1,1,1,0
07.01.2026 04:00,1,0,0,0,1.791953863,0,0,0,0,1.791953863,0,0,1,1,1,1,1,1,0
07.01.2026 05:00,1,0,0,0,1.85973739,0,0,0,0,1.85973739,0,0,1,1,1,1,1,1,1
07.01.2026 06:00,1,0,0,0.090537257,2.530382277,0.090537257,0,0,0,2.43984502,0,0,1,1,1,1,1,1,1
07.01.2026 07:00,1,0,0,0.073392234,2.593806446,0.073392234,0,0,0,2.520414212,0,0,1,1,1,1,1,1,1
07.01.2026 08:00,1,0,0,0.123915912,2.96770501,0.123915912,0,0,0,2.843789098,0,0,1,1,1,1,1,1,1
07.01.2026 09:00,1,0,0,0.115285745,3.178476734,0.115285745,0,0,0,3.063190989,0,0,1,1,1,1,1,1,1
07.01.2026 10:00,1,0,0,0.188473561,3.4279061,0.188473561,0,0,0,3.239432539,0,0,1,1,1,1,1,1,1
07.01.2026 11:00,1,0,0,0.18383194,3.741629499,0.18383194,0,0,0,3.557797558,0,0,1,1,1,1,1,1,1
07.01.2026 12:00,1,0,0,0.25953725,3.277964106,0.25953725,0,0,0,3.018426856,0,0,1,1,1,1,1,1,1
07.01.2026 13:00,1,0,0,0.159692641,3.580644132,0.159692641,0,0,0,3.420951492,0,0,1,1,1,1,1,1,1
07.01.2026 14:00,1,0,0,0.110200653,3.730177868,0.110200653,0,0,0,3.619977215,0,0,1,1,1,1,1,1,1
07.01.2026 15:00,1,0,0,0.111863776,3.429312151,0.111863776,0,0,0,3.317448375,0,0,1,1,1,1,1,1,1
07.01.2026 16:00,1,0,0,0.092738591,3.293303327,0.092738591,0,0,0,3.200564737,0,0,1,1,1,1,1,1,1
07.01.2026 17:00,0,0,0,0.013748664,2.470019337,0.013748664,0,0,2.456270674,0,0,1,1,1,1,1,1,1,1
07.01.2026 18:00,0,0,0,0.061653891,2.168542552,0.061653891,0,0,2.10688866,0,0,1,1,1,1,1,1,1,1
07.01.2026 19:00,0,0,0,0,2.216653103,0,0,0,2.216653103,0,0,1,1,1,1,1,1,1,1
07.01.2026 20:00,0,0,0,0,1.614153841,0,0,0,1.614153841,0,0,1,1,1,1,1,1,1,1
07.01.2026 21:00,0,0,0,0,1.539120652,0,0,0,1.539120652,0,0,1,1,1,1,1,1,1,1
07.01.2026 22:00,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1
07.01.2026 23:00,0,0,0,0,1.247188843,0,0,0,1.247188843,0,0,1,1,1,1,1,1,1,1
08.01.2026 00:00,0,0,0,0,1.15249622,0,0,0,1.15249622,0,0,1,1,1,1,1,1,1,1
08.01.2026 01:00,0,0,0,0,1.194897709,0,0,0,1.194897709,0,0,1,1,1,1,1,1,1,1
08.01.2026 02:00,0,0,0,0,1.345123157,0,0,0,1.345123157,0,0,1,1,1,1,1,1,1,1
08.01.2026 03:00,0,0,0,0,1.214642315,0,0,0,1.214642315,0,0,1,1,1,1,1,1,1,1
08.01.2026 04:00,0,0,0,0,1.486818191,0,0,0,1.486818191,0,0,1,1,1,1,1,1,1,1
08.01.2026 05:00,0,0,0,0,2.061845264,0,0,0,2.061845264,0,0,1,1,1,1,1,1,1,1
08.01.2026 06:00,0,0,0,0.01596834,2.500865871,0.01596834,0,0,2.484897531,0,0,1,1,1,1,1,1,1,1
08.01.2026 07:00,0,0,0,0.051997193,2.705708126,0.051997193,0,0,2.653710933,0,0,1,1,1,1,1,1,1,1
08.01.2026 08:00,0,0,0,0.026601911,2.799375806,0.026601911,0,0,2.772773895,0,0,1,1,1,1,1,1,1,1
